year_month,mean_price,tx_count,item_id,asset_type,score_ch1,score_ch2,score_ch3,score_ch4,score_ch5,price_direction,price_vs_ma3,price_chg_lag1,price_chg_lag2,price_chg_lag3
2022-01,225.0,2,sneakers_jordan1,sneakers,1.3453780307320802,1.7294022661671589,2.4849717870290413,-1.3239764626476729,0.1571769674473894,0,1.0,,,
2022-02,218.12,2,sneakers_jordan1,sneakers,1.7189662338944223,2.859743202299348,7.279105173386645,0.45928206053679826,0.7183479848195553,0,0.9844737317205272,,,
2022-03,216.67,1,sneakers_jordan1,sneakers,0.7242876429746862,1.0614697478005224,0.5631152606775988,-1.8863849226354679,0.7808454219271601,0,0.9851771018051199,-0.030577777777777704,,
2022-04,212.68,2,sneakers_jordan1,sneakers,0.42074722790528307,0.08526495092351737,1.0309370395605046,-2.0099988645339937,-0.06125030324700506,0,0.9854356186387013,-0.0066477168531084985,-0.030577777777777704,
2022-05,200.0,2,sneakers_jordan1,sneakers,-0.17699389715446462,1.3697466504413098,1.7725122739853267,-1.7903517794143822,0.41038910747901525,0,0.95336458250576,-0.018415101306133663,-0.0066477168531084985,-0.030577777777777704
2022-06,185.87,2,sneakers_jordan1,sneakers,-0.3824674088937528,0.5990567059045505,-0.9234283937465348,-1.059260753602245,0.14021701165156716,0,0.9316013699774455,-0.0596200865149521,-0.018415101306133663,-0.0066477168531084985
2022-07,181.16,2,sneakers_jordan1,sneakers,-0.3264291784194015,3.373534957280381,-0.5271918847254492,-1.691920305873519,0.4935607307017274,0,0.9584678059361939,-0.07064999999999999,-0.0596200865149521,-0.018415101306133663
2022-08,185.51,2,sneakers_jordan1,sneakers,-0.25638139032646234,1.0614697478005224,0.10503520812145421,-0.5562109690289399,0.429587777439886,1,1.0072211966554458,-0.025340291601657072,-0.07064999999999999,-0.0596200865149521
2022-09,177.54,1,sneakers_jordan1,sneakers,-0.46652475460527987,-0.42852680405751586,-0.34297474531039757,-1.722698878310662,0.35772844473298726,0,0.978703074180923,0.02401192316184586,-0.025340291601657072,-0.07064999999999999
2022-10,177.18,2,sneakers_jordan1,sneakers,-0.35444829365657726,0.5476779928194891,-0.1914854280492974,0.6111763141226988,0.3573892456170707,0,0.9839142587416471,-0.04296264352326018,0.02401192316184586,-0.025340291601657072
