year_month,mean_price,tx_count,item_id,asset_type,score_ch1,score_ch2,score_ch3,score_ch4,score_ch5,price_direction,price_vs_ma3,price_chg_lag1,price_chg_lag2,price_chg_lag3
2024-08,121.02,2,sneakers_jordan1,sneakers,7.5,0.0,0.0,0.8651,-0.025351,1,1.0183154292766388,0.03130929791271342,-0.08830699064244718,-0.05646238314289953
2024-09,113.04,2,sneakers_jordan1,sneakers,5.8,0.0,0.0,-0.7543,-0.05068,0,0.9589684133133501,0.012126787655766469,0.03130929791271342,-0.08830699064244718
2024-10,112.68,2,sneakers_jordan1,sneakers,5.0,0.0,0.0,-0.7732,0.041459,0,0.9749091538328432,-0.06593951412989585,0.012126787655766469,0.03130929791271342
2024-11,115.58,2,sneakers_jordan1,sneakers,6.2,0.0,0.0,0.4946,0.012262,1,1.0159390565484911,-0.0031847133757961776,-0.06593951412989585,0.012126787655766469
2024-12,117.03,2,sneakers_jordan1,sneakers,4.4,0.0,0.0,1.649,-0.051294,1,1.0167974745865795,0.025736599219027267,-0.0031847133757961776,-0.06593951412989585
2025-01,102.9,1,sneakers_jordan1,sneakers,6.0,0.0,0.0,-0.1671,-0.050653,0,0.9200918005424579,0.012545423083578422,0.025736599219027267,-0.0031847133757961776
2025-02,102.53,2,sneakers_jordan1,sneakers,1.5,0.0,0.0,0.5166,0.029655,0,0.9538857532717235,-0.12073827223788769,0.012545423083578422,0.025736599219027267
2025-03,106.88,2,sneakers_jordan1,sneakers,3.0,0.0,0.0,0.1668,0.021705,1,1.0266722167077582,-0.0035957240038873017,-0.12073827223788769,0.012545423083578422
2025-04,103.98,2,sneakers_jordan1,sneakers,1.2,0.0,0.0,0.1587,0.074203,0,0.9953731771913591,0.04242660684677646,-0.0035957240038873017,-0.12073827223788769
2025-05,105.44,2,sneakers_jordan1,sneakers,4.2,0.0,0.0,0.689,-0.122528,1,1.000063231109706,-0.027133233532934065,0.04242660684677646,-0.0035957240038873017
2025-06,102.17,1,sneakers_jordan1,sneakers,3.0,0.0,0.0,1.207,-0.023264,0,0.9836965242786995,0.014041161761877197,-0.027133233532934065,0.04242660684677646
2025-07,102.53,2,sneakers_jordan1,sneakers,2.8,0.222222,0.00838,0.8566,0.000271,1,0.9917779067517896,-0.03101289833080423,0.014041161761877197,-0.027133233532934065
2025-08,109.42,2,sneakers_jordan1,sneakers,8.2,0.0,0.0,0.8776,-0.009687,1,1.0450146440850632,0.0035235391993735377,-0.03101289833080423,0.014041161761877197
2025-09,109.42,2,sneakers_jordan1,sneakers,6.8,0.188889,-0.00303,0.0141,-0.005193,0,1.0214394623020195,0.06719984394811274,0.0035235391993735377,-0.03101289833080423
2025-10,104.35,2,sneakers_jordan1,sneakers,7.0,0.0,0.0,1.0513,-0.014941,0,0.9686252668708808,0.0,0.06719984394811274,0.0035235391993735377
2025-11,109.78,2,sneakers_jordan1,sneakers,7.8,0.0,0.0,-0.6747,0.052436,1,1.017895224849328,-0.04633522208005858,0.0,0.06719984394811274
2025-12,94.93,1,sneakers_jordan1,sneakers,4.0,0.0,0.0,0.3572,0.020844,0,0.9214715589205981,0.05203641590800201,-0.04633522208005858,0.0
2022-01,302.53,2,sneakers_panda,sneakers,31.4,0.0,0.0,-0.4159,0.049489,0,1.0,,,
2022-02,274.64,1,sneakers_panda,sneakers,31.8,0.0,0.0,-1.4144,0.054308,0,0.9516780151428522,,,
2022-03,267.39,2,sneakers_panda,sneakers,38.0,0.0,0.0,-1.2593,0.045297,0,0.9498081841432225,-0.09218920437642542,,
