asset,channel,horizon,irf_price_to_channel,ci_lo,ci_hi,lag,price_differenced,channel_differenced,n_obs
sneakers,score_ch3,0,0.0,0.0,0.0,1,True,False,47
sneakers,score_ch3,1,-2.816614355301181,-4.379575176033969,-1.230254786655873,1,True,False,47
sneakers,score_ch3,2,-0.5058698908153354,-1.3827546316793464,0.27253706970471697,1,True,False,47
sneakers,score_ch3,3,-0.15570128714501327,-0.6152006035549153,0.04326172989323916,1,True,False,47
sneakers,score_ch3,4,-0.03961075629707841,-0.2685447908629607,0.03107423996023581,1,True,False,47
sneakers,score_ch3,5,-0.010698835053150025,-0.12113572429518718,0.0025873073170304224,1,True,False,47
sneakers,score_ch3,6,-0.0028334787969002627,-0.054961377915506954,0.0030469216542783123,1,True,False,47
sneakers,score_ch3,7,-0.0007552145397498014,-0.02561457745961899,8.039924045745645e-05,1,True,False,47
sneakers,score_ch3,8,-0.00020087237754665483,-0.01174248848919961,0.00022993988346685755,1,True,False,47
sneakers,score_ch3,9,-5.3464159416986714e-05,-0.005563845589491333,2.4694248862221156e-06,1,True,False,47
sneakers,score_ch3,10,-1.4226894684447066e-05,-0.0025948471535843427,2.1632513817409873e-05,1,True,False,47
sneakers,score_ch3,11,-3.7860681051963574e-06,-0.0012096550964601585,5.878705044586282e-08,1,True,False,47
sneakers,score_ch3,12,-1.0075269488949164e-06,-0.0005637686468034374,2.589820316656211e-06,1,True,False,47
cards,score_ch1,0,0.0,0.0,0.0,1,True,True,47
cards,score_ch1,1,10.8027702151145,3.5948396862509493,17.546292178971584,1,True,True,47
cards,score_ch1,2,6.034070437515054,0.5380992935293019,10.952159605257982,1,True,True,47
cards,score_ch1,3,2.1031553618783043,-1.033159498826114,5.71797364527073,1,True,True,47
cards,score_ch1,4,0.4668940440385673,-1.4859669799823725,2.802090238872281,1,True,True,47
cards,score_ch1,5,0.014069649147038182,-1.164800927379013,1.3919311371398002,1,True,True,47
cards,score_ch1,6,-0.04691267212089871,-0.5443997023569821,0.7472426869117473,1,True,True,47
cards,score_ch1,7,-0.02785438405031377,-0.18965461846181897,0.4485109167897695,1,True,True,47
cards,score_ch1,8,-0.010055195477186904,-0.062445551359950786,0.25378167752862296,1,True,True,47
cards,score_ch1,9,-0.002348891788728189,-0.04494639934424191,0.15374081764734696,1,True,True,47
cards,score_ch1,10,-0.0001324346239272554,-0.02256396557076191,0.08302216516549198,1,True,True,47
cards,score_ch1,11,0.0002015757610908392,-0.010955950535871369,0.04082534380098344,1,True,True,47
cards,score_ch1,12,0.0001281295133336196,-0.00743790733288664,0.026354629563374095,1,True,True,47
